代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,换手率
bj920000,安徽凤凰,21.14,-0.63,-2.894,21.12,21.15,21.77,21.66,22.19,21.05,1742704.0,37242718.0,14:15:27,0.0
bj920001,纬达光电,20.62,-0.7,-3.283,20.62,20.67,21.32,20.85,21.0,20.57,2166214.0,44801962.0,14:15:27,0.0
bj920002,万达轴承,106.93,0.63,0.593,106.94,107.07,106.3,107.0,109.33,106.21,554252.0,59746863.0,14:15:27,0.0
bj920003,中诚咨询,34.42,-0.8,-2.271,34.42,34.46,35.22,35.19,35.19,34.3,1317897.0,45570867.0,14:15:27,0.0
bj920005,鼎佳精密,45.05,-0.94,-2.044,45.09,45.21,45.99,45.97,46.18,45.03,499657.0,22730913.0,14:15:27,0.0
bj920006,晟楠科技,29.49,0.9,3.148,29.49,29.62,28.59,31.0,31.69,29.09,4479320.0,136519331.0,14:15:27,0.0
bj920007,酉立智能,72.07,-1.28,-1.745,72.07,72.1,73.35,73.0,73.14,72.0,366938.0,26508003.0,14:15:27,0.0
bj920008,成电光信,31.29,0.51,1.657,31.29,31.3,30.78,32.32,32.79,31.25,2278652.0,72939154.0,14:15:27,0.0
bj920009,丹娜生物,95.6,0.81,0.855,95.59,95.6,94.79,91.46,99.7,88.62,2479577.0,230390678.0,14:15:27,0.0
bj920010,凯添燃气,14.4,-0.98,-6.372,14.4,14.43,15.38,14.93,14.93,14.3,14100053.0,205058432.0,14:15:27,0.0
bj920014,特瑞斯,13.3,-0.13,-0.968,13.31,13.35,13.43,13.63,13.63,13.26,699398.0,9359796.0,14:15:27,0.0
bj920015,锦华新材,59.37,0.91,1.557,59.39,59.62,58.46,59.9,60.88,58.58,3431531.0,204736752.0,14:15:27,0.0
bj920016,中草香料,21.5,-0.45,-2.05,21.5,21.53,21.95,21.94,22.01,21.43,649633.0,14035263.0,14:15:27,0.0
bj920017,星昊医药,20.29,-0.84,-3.975,20.29,20.3,21.13,21.02,21.06,20.23,4146118.0,85115972.0,14:15:27,0.0
bj920018,宏远股份,30.46,-0.33,-1.072,30.45,30.46,30.79,30.78,30.9,30.4,1198764.0,36680503.0,14:15:27,0.0
bj920019,铜冠矿建,21.17,-0.11,-0.517,21.17,21.19,21.28,21.31,21.32,20.92,1639959.0,34593550.0,14:15:27,0.0
bj920020,泰凯英,18.26,-0.26,-1.404,18.26,18.28,18.52,18.46,18.46,18.18,2220505.0,40503274.0,14:15:27,0.0
bj920021,流金科技,6.86,0.0,0.0,6.85,6.87,6.86,6.86,6.95,6.83,3628254.0,24928155.0,14:15:27,0.0
bj920022,世昌股份,31.94,-0.95,-2.888,31.94,32.0,32.89,32.8,32.94,31.68,1138741.0,36641809.0,14:15:27,0.0
bj920023,田野股份,4.58,-0.08,-1.717,4.57,4.58,4.66,4.66,4.67,4.54,7171146.0,33022652.0,14:15:27,0.0
bj920026,卓兆点胶,37.33,-0.71,-1.866,37.31,37.33,38.04,37.5,37.99,37.28,589965.0,22102283.0,14:15:27,0.0
bj920027,交大铁发,26.49,-0.14,-0.526,26.49,26.55,26.63,26.6,26.67,26.45,540660.0,14356276.0,14:15:27,0.0
bj920029,开发科技,94.58,-1.48,-1.541,94.52,94.58,96.06,96.58,96.65,94.5,848424.0,80765319.0,14:15:27,0.0
bj920030,德众汽车,7.5,-0.07,-0.925,7.48,7.49,7.57,7.52,7.61,7.43,4194810.0,31519538.0,14:15:27,0.0
bj920033,康普化学,18.96,-0.03,-0.158,18.91,18.96,18.99,18.96,19.21,18.72,727207.0,13721826.0,14:15:27,0.0
bj920037,广信科技,98.65,2.38,2.472,98.51,98.64,96.27,96.43,100.28,96.33,1252015.0,123634399.0,14:15:27,0.0
bj920039,国义招标,13.13,-0.18,-1.352,13.13,13.14,13.31,13.34,13.4,13.05,1573439.0,20723429.0,14:15:27,0.0
bj920046,亿能电力,15.25,0.08,0.527,15.26,15.27,15.17,15.47,15.58,15.1,2351552.0,35907780.0,14:15:27,0.0
bj920047,诺思兰德,26.35,-0.19,-0.716,26.25,26.35,26.54,26.5,26.62,26.12,2216845.0,58240933.0,14:15:27,0.0
bj920056,能之光,27.84,-0.76,-2.657,27.83,27.84,28.6,28.38,28.78,27.68,2562400.0,71648355.0,14:15:27,0.0
bj920057,百甲科技,7.31,-0.1,-1.35,7.3,7.31,7.41,7.4,7.41,7.27,1787837.0,13072449.0,14:15:27,0.0
bj920058,华洋赛车,35.7,-0.61,-1.68,35.58,35.74,36.31,36.2,36.66,35.5,389638.0,14028110.0,14:15:27,0.0
bj920060,万源通,32.87,-0.02,-0.061,32.81,32.87,32.89,33.01,33.19,32.61,1452502.0,47719312.0,14:15:27,0.0
bj920061,西磁科技,33.16,-0.25,-0.748,33.16,33.24,33.41,33.75,33.87,33.07,493687.0,16499571.0,14:15:27,0.0
bj920062,科润智控,11.31,-0.11,-0.963,11.29,11.32,11.42,11.34,11.54,11.23,4691342.0,53206827.0,14:15:27,0.0
bj920066,科拜尔,28.39,-0.5,-1.731,28.39,28.45,28.89,28.88,29.17,28.26,323046.0,9213490.0,14:15:27,0.0
bj920068,天工股份,18.38,-0.22,-1.183,18.34,18.38,18.6,18.54,18.72,18.31,1468822.0,27122046.0,14:15:27,0.0
bj920075,柏星龙,29.18,-0.05,-0.171,29.11,29.18,29.23,29.06,29.47,28.9,687386.0,20098646.0,14:15:27,0.0
bj920077,吉林碳谷,15.28,0.27,1.799,15.26,15.28,15.01,14.94,15.36,14.77,4652323.0,69984386.0,14:15:27,0.0
bj920080,奥美森,29.15,-0.81,-2.704,29.09,29.15,29.96,29.95,30.0,28.91,1926398.0,56358215.0,14:15:27,0.0
bj920082,方正阀门,18.72,-0.41,-2.143,18.73,18.75,19.13,19.06,19.07,18.58,1240089.0,23258076.0,14:15:27,0.0
bj920087,秋乐种业,16.33,-0.19,-1.15,16.32,16.33,16.52,16.57,16.7,16.2,3290466.0,53953122.0,14:15:27,0.0
bj920088,科力股份,34.06,-0.85,-2.435,34.07,34.12,34.91,34.51,34.87,33.74,1782868.0,60952143.0,14:15:27,0.0
bj920089,禾昌聚合,19.77,-0.19,-0.952,19.76,19.77,19.96,19.9,20.05,19.62,2487841.0,49249172.0,14:15:27,0.0
bj920090,同辉信息,7.06,-0.1,-1.397,7.06,7.07,7.16,7.18,7.18,7.03,3379563.0,23926400.0,14:15:27,0.0
bj920092,汉鑫科技,33.99,0.35,1.04,33.95,33.99,33.64,33.99,34.45,33.64,573570.0,19548200.0,14:15:27,0.0
bj920098,科隆新材,29.19,-0.23,-0.782,29.16,29.2,29.42,29.56,29.63,29.03,485890.0,14208772.0,14:15:27,0.0
bj920099,瑞华技术,31.2,-0.37,-1.172,31.2,31.21,31.57,31.7,31.87,31.0,706100.0,22088616.0,14:15:27,0.0
bj920100,三协电机,67.87,0.51,0.757,67.87,67.88,67.36,67.66,68.43,67.15,727182.0,49421182.0,14:15:27,0.0
bj920101,志高机械,43.19,-0.85,-1.93,43.19,43.25,44.04,44.03,44.05,43.11,716827.0,31210867.0,14:15:27,0.0
bj920106,林泰新材,92.99,-2.21,-2.321,92.71,92.99,95.2,95.96,96.4,92.37,565159.0,52864586.0,14:15:27,0.0
bj920108,宏海科技,15.25,-0.38,-2.431,15.25,15.26,15.63,15.65,15.65,15.2,1094386.0,16814628.0,14:15:27,0.0
bj920110,雷特科技,39.04,-0.2,-0.51,39.04,39.14,39.24,40.22,40.22,39.01,184261.0,7243470.0,14:15:27,0.0
bj920111,聚星科技,27.1,-0.25,-0.914,27.07,27.1,27.35,27.47,27.52,26.87,900666.0,24359939.0,14:15:27,0.0
bj920112,巴兰仕,40.26,-0.51,-1.251,40.25,40.26,40.77,40.78,40.78,40.12,356300.0,14365564.0,14:15:27,0.0
bj920116,星图测控,70.08,-0.42,-0.596,70.07,70.08,70.5,70.37,71.5,69.91,1273864.0,89946575.0,14:15:27,0.0
bj920118,太湖远大,24.95,-0.43,-1.694,24.95,24.98,25.38,25.31,25.38,24.87,602020.0,15115479.0,14:15:27,0.0
bj920122,中纺标,42.35,-0.59,-1.374,42.27,42.34,42.94,42.61,43.05,41.05,1384226.0,58242829.0,14:15:27,0.0
bj920123,芭薇股份,17.49,-0.19,-1.075,17.47,17.49,17.68,17.71,18.01,17.43,1297590.0,22971939.0,14:15:27,0.0
bj920128,胜业电气,29.55,-0.48,-1.598,29.52,29.54,30.03,30.09,30.09,29.41,622612.0,18479877.0,14:15:27,0.0
bj920130,立方控股,25.22,0.1,0.398,25.23,25.24,25.12,25.15,25.65,24.83,946166.0,23947503.0,14:15:27,0.0
