代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,换手率,开盘,最高,最低,昨收
000001,上证指数,4124.4369,-0.34603613619881946,-14.321600000000217,1531914503607.0,905440107,0,4138.6454,4190.8663,4103.6205,4138.7585
000002,Ａ股指数,4324.7919,-0.34462142452707445,-14.955699999999524,1530697473327.0,904743030,0,4339.631,4394.4501,4302.9316,4339.7476
000004,工业指数,3811.6978,0.20389639515242994,7.75610000000006,1149459962057.0,563166306,0,3809.962,3874.5479,3784.2783,3803.9417
000006,地产指数,4280.9756,-1.0030178873604438,-43.373999999999796,6567823883.0,11838453,0,4316.6764,4350.1313,4260.0552,4324.3496
000007,公用指数,4855.8221,-1.2185411942115003,-59.90009999999984,56665726898.0,74347357,0,4892.9013,4934.5054,4844.69,4915.7222
000008,综合指数,3666.8536,-1.3297178797178182,-49.415899999999965,229234866213.0,188813269,0,3708.5966,3726.5814,3663.1608,3716.2695
000009,上证380,7126.3611,0.6205499618548063,43.949900000000525,403601606268.0,212153561,0,7093.1755,7257.0312,7048.7947,7082.4112
000010,上证180,10361.9391,-0.6446438149474595,-67.23099999999977,434711301220.0,202539179,0,10444.8904,10549.5374,10330.469,10429.1701
000011,基金指数,7201.2205,0.021287033844903987,1.532600000000457,490157010625.0,1814308920,0,7200.7771,7220.7076,7193.0388,7199.6879
000012,国债指数,224.7252,0.007253829287580995,0.01630000000000109,23685475527.0,23847629,0,224.7233,224.7258,224.6515,224.7089
000014,沙河股份,13.4,-2.1897810218978027,-0.29999999999999893,197622491.4,14547100,0,13.7,13.8,13.31,13.7
000016,上证50,3111.6675,-0.6787665538181995,-21.265300000000025,201464728962.0,66672010,0,3136.8446,3169.7527,3106.1343,3132.9328
000017,新综指,3486.4142,-0.3463880729198283,-12.11850000000004,1509582072166.0,896410202,0,3498.4345,3542.6055,3468.8034,3498.5327
000019,治理指数,1273.7338,-0.8477112791862803,-10.889900000000125,277565671979.0,140791315,0,1285.3278,1294.4652,1270.6617,1284.6237
000020,中型综指,1823.8724,0.8152511423349511,14.748900000000049,351127056057.0,132311343,0,1808.9603,1856.0752,1804.361,1809.1235
000021,180治理,1107.7701,-1.0174267821476692,-11.386600000000044,201204662619.0,101716769,0,1120.0188,1126.6069,1106.2469,1119.1567
000025,180基建,1778.1486,-1.5092310485642941,-27.24759999999992,40762118914.0,40650288,0,1802.6076,1808.0084,1777.7475,1805.3962
000026,180资源,5995.4169,-0.18743147311458155,-11.25839999999971,62180457953.0,23822875,0,6031.5028,6125.5842,5984.1375,6006.6753
000027,180运输,771.387,-1.1402765453211754,-8.897400000000061,8896265136.0,10886597,0,781.0814,783.0838,770.816,780.2844
000028,180成长,4167.5475,-0.047532942206875387,-1.9819000000006781,186138374714.0,48155063,0,4179.1138,4247.0229,4147.0054,4169.5294
000029,180价值,4411.4871,-1.5706351513876469,-70.39399999999932,99474818614.0,93605338,0,4478.3801,4490.1105,4410.8799,4481.8811
000030,180R成长,2714.8857,-0.20144350445236164,-5.480000000000018,361456299116.0,128525680,0,2726.4911,2765.8474,2701.6078,2720.3657
000031,180R价值,3246.6963,-1.351471492435711,-44.47929999999997,274792743016.0,173975956,0,3291.1734,3305.2365,3246.1412,3291.1756
000032,上证能源,1991.4182,-0.42039670063195894,-8.407199999999875,19750998738.0,27999857,0,2005.4753,2015.2533,1987.1634,1999.8254
000034,上证工业,2301.4837,-1.0299920165491505,-23.95179999999982,95181822031.0,66747416,0,2329.6228,2354.2627,2292.4607,2325.4355
000035,上证可选,3006.5043,-0.7901926931198655,-23.946399999999812,44520234831.0,25208015,0,3031.6898,3052.3059,2988.4403,3030.4507
000036,上证消费,10954.097,-0.6413267104479511,-70.70499999999993,19243471453.0,4760372,0,11021.0514,11083.4378,10904.3599,11024.802
000037,上证医药,6809.6703,-1.017630180473518,-70.00970000000052,36802002494.0,9421255,0,6876.3387,6986.6,6748.4132,6879.68
000039,上证信息,5992.499,1.785097745387934,105.09589999999935,174059494848.0,29598483,0,5932.4788,6105.6756,5932.2872,5887.4031
000040,上证电信,4348.9423,0.8412437022949779,36.279999999999745,86018183582.0,34626957,0,4302.278,4438.2234,4302.278,4312.6623
000042,上证央企,1816.7368,-1.234422392905506,-22.706500000000005,121695640220.0,85265016,0,1838.0538,1845.6625,1815.7951,1839.4433
000045,上证小盘,6228.1809,0.7210792341532614,44.58860000000004,449134014280.0,243417725,0,6192.3085,6342.3691,6158.6235,6183.5923
000048,责任指数,1487.3555,-1.221899216890841,-18.398800000000165,115627334261.0,64305376,0,1506.8282,1513.5202,1486.1334,1505.7543
000049,上证民企,2151.3801,0.09465671784006037,2.0344999999997526,171363107376.0,59628184,0,2161.4147,2199.791,2134.6449,2149.3456
000050,50等权,2485.3667,-0.7001901041103812,-17.52500000000009,201464728962.0,66672010,0,2503.8913,2529.4953,2478.3336,2502.8917
000055,上证地企,1634.6014,-0.7423851148438607,-12.225799999999936,116960552283.0,60513721,0,1647.7922,1667.6211,1632.5163,1646.8272
000056,上证国企,1284.4751,-0.8461549446846612,-10.961399999999912,185884564512.0,94473127,0,1296.5467,1306.963,1282.7177,1295.4365
000058,全指价值,4745.2019,-1.2158571926441306,-58.404999999999745,202127351263.0,180852179,0,4804.7442,4829.8257,4744.0775,4803.6069
000059,全R成长,3550.487,0.190499507271457,6.750800000000254,722717260862.0,289670825,0,3551.7246,3613.739,3525.1224,3543.7362
000060,全R价值,4557.9531,-0.8648295006509324,-39.762400000000525,660265333578.0,395538341,0,4598.7411,4639.9158,4547.8314,4597.7155
000061,沪企债30,177.6144,0.0037160530111806592,0.006599999999991724,244473475.0,245404,0,177.6177,177.666,177.5738,177.6078
000062,上证沪企,2190.5037,-0.40664754156236405,-8.94399999999996,80634850803.0,37065679,0,2203.3935,2240.6616,2181.8573,2199.4477
000063,上证周期,4103.196,-1.223898524548597,-50.841199999999844,133743374092.0,89715884,0,4154.9618,4183.776,4101.8706,4154.0372
000065,上证龙头,3782.3383,-0.18829264307316762,-7.135299999999916,291788952435.0,143523037,0,3793.9231,3852.4666,3759.4841,3789.4736
000066,上证商品,3833.1624,0.5425685048704973,20.685300000000097,114033648278.0,67427349,0,3822.668,3877.1827,3808.2688,3812.4771
000068,上证资源,4364.4719,0.16190555092613762,7.054899999999179,103174218288.0,51089784,0,4375.3874,4433.121,4347.1175,4357.417
000069,消费80,5042.6462,-0.9228944097572794,-46.97180000000026,86860045318.0,30424884,0,5089.0014,5130.1016,5011.0456,5089.618
000070,能源等权,2738.6851,0.002716705956051684,0.07439999999996871,19750998738.0,27999857,0,2744.0311,2772.447,2724.0819,2738.6107
000078,电信等权,3975.6371,-0.29123585798270435,-11.612300000000232,86018183582.0,34626957,0,3938.7282,4090.2735,3927.7801,3987.2494
000088,盐田港,4.49,-0.663716814159278,-0.02999999999999936,178931077.2,39720566,0,4.52,4.54,4.45,4.52
000089,深圳机场,6.96,-0.571428571428572,-0.040000000000000036,134669874.0,19268600,0,7.0,7.04,6.92,7.0
000090,上证流通,1521.4269,-0.12755928451005838,-1.9432000000001608,1509582072166.0,896410202,0,1524.1554,1548.1473,1511.904,1523.3701
000096,上证下游,4395.4796,-0.36973415448124886,-16.311900000000605,192846511266.0,89210824,0,4406.7821,4470.7321,4365.4087,4411.7915
000099,上证F300,9587.3273,-0.01729067203804606,-1.657999999999447,316826822007.0,180979317,0,9589.389,9742.1658,9503.6896,9588.9853
000100,上证F500,6354.8397,-0.8267388343696946,-52.975899999999456,659808542795.0,439835461,0,6413.2185,6461.2102,6341.5651,6407.8156
000151,上国红利,1540.3248,-0.9501889651940315,-14.776399999999967,27966608935.0,30309273,0,1556.9723,1561.085,1537.9181,1555.1012
000153,上民红利,3205.5927,0.07869007760736968,2.5205000000000837,10797560372.0,12341366,0,3202.2722,3236.1027,3178.8374,3203.0722
000155,市值百强,3385.5431,-0.8087986558803834,-27.60550000000012,365210767580.0,153564636,0,3417.913,3448.6463,3378.1726,3413.1486
